from_city,to_city,distance_mi,drive_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
miami,bal-harbour,11,12,miami-to-bal-harbour,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,surfside,10,11,miami-to-surfside,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,surfside,10,11,miami-to-surfside,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,surfside,10,11,miami-to-surfside,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,surfside,10,11,miami-to-surfside,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,surfside,10,11,miami-to-surfside,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,bay-harbor-islands,10,11,miami-to-bay-harbor-islands,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,bay-harbor-islands,10,11,miami-to-bay-harbor-islands,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,bay-harbor-islands,10,11,miami-to-bay-harbor-islands,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,bay-harbor-islands,10,11,miami-to-bay-harbor-islands,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,bay-harbor-islands,10,11,miami-to-bay-harbor-islands,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,key-biscayne,6,6,miami-to-key-biscayne,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,key-biscayne,6,6,miami-to-key-biscayne,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,key-biscayne,6,6,miami-to-key-biscayne,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,key-biscayne,6,6,miami-to-key-biscayne,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,key-biscayne,6,6,miami-to-key-biscayne,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,south-miami,8,9,miami-to-south-miami,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,south-miami,8,9,miami-to-south-miami,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,south-miami,8,9,miami-to-south-miami,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,south-miami,8,9,miami-to-south-miami,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,south-miami,8,9,miami-to-south-miami,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,sweetwater,12,14,miami-to-sweetwater,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sweetwater,12,14,miami-to-sweetwater,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sweetwater,12,14,miami-to-sweetwater,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,sweetwater,12,14,miami-to-sweetwater,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,sweetwater,12,14,miami-to-sweetwater,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,west-miami,7,8,miami-to-west-miami,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,west-miami,7,8,miami-to-west-miami,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,west-miami,7,8,miami-to-west-miami,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,west-miami,7,8,miami-to-west-miami,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,west-miami,7,8,miami-to-west-miami,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,medley,11,12,miami-to-medley,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,medley,11,12,miami-to-medley,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,medley,11,12,miami-to-medley,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,medley,11,12,miami-to-medley,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,medley,11,12,miami-to-medley,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,miami-lakes,14,15,miami-to-miami-lakes,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-lakes,14,15,miami-to-miami-lakes,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-lakes,14,15,miami-to-miami-lakes,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,miami-lakes,14,15,miami-to-miami-lakes,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,miami-lakes,14,15,miami-to-miami-lakes,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,hialeah-gardens,12,13,miami-to-hialeah-gardens,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hialeah-gardens,12,13,miami-to-hialeah-gardens,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hialeah-gardens,12,13,miami-to-hialeah-gardens,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,hialeah-gardens,12,13,miami-to-hialeah-gardens,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,hialeah-gardens,12,13,miami-to-hialeah-gardens,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,opa-locka,11,12,miami-to-opa-locka,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,opa-locka,11,12,miami-to-opa-locka,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,opa-locka,11,12,miami-to-opa-locka,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,opa-locka,11,12,miami-to-opa-locka,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,opa-locka,11,12,miami-to-opa-locka,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,miami-shores,8,8,miami-to-miami-shores,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-shores,8,8,miami-to-miami-shores,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miami-shores,8,8,miami-to-miami-shores,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,miami-shores,8,8,miami-to-miami-shores,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,miami-shores,8,8,miami-to-miami-shores,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,el-portal,7,8,miami-to-el-portal,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,el-portal,7,8,miami-to-el-portal,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,el-portal,7,8,miami-to-el-portal,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,el-portal,7,8,miami-to-el-portal,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,el-portal,7,8,miami-to-el-portal,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,biscayne-park,9,10,miami-to-biscayne-park,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,biscayne-park,9,10,miami-to-biscayne-park,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,biscayne-park,9,10,miami-to-biscayne-park,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,biscayne-park,9,10,miami-to-biscayne-park,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,biscayne-park,9,10,miami-to-biscayne-park,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,golden-beach,16,18,miami-to-golden-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,golden-beach,16,18,miami-to-golden-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,golden-beach,16,18,miami-to-golden-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,golden-beach,16,18,miami-to-golden-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,golden-beach,16,18,miami-to-golden-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,virginia-gardens,9,9,miami-to-virginia-gardens,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,virginia-gardens,9,9,miami-to-virginia-gardens,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,virginia-gardens,9,9,miami-to-virginia-gardens,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,virginia-gardens,9,9,miami-to-virginia-gardens,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,virginia-gardens,9,9,miami-to-virginia-gardens,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,fort-lauderdale,28,30,miami-to-fort-lauderdale,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,fort-lauderdale,28,30,miami-to-fort-lauderdale,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,fort-lauderdale,28,30,miami-to-fort-lauderdale,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,fort-lauderdale,28,30,miami-to-fort-lauderdale,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,fort-lauderdale,28,30,miami-to-fort-lauderdale,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,hollywood-fl,19,21,miami-to-hollywood-fl,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hollywood-fl,19,21,miami-to-hollywood-fl,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,hollywood-fl,19,21,miami-to-hollywood-fl,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,hollywood-fl,19,21,miami-to-hollywood-fl,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,hollywood-fl,19,21,miami-to-hollywood-fl,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,pembroke-pines,20,22,miami-to-pembroke-pines,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pembroke-pines,20,22,miami-to-pembroke-pines,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pembroke-pines,20,22,miami-to-pembroke-pines,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,pembroke-pines,20,22,miami-to-pembroke-pines,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,pembroke-pines,20,22,miami-to-pembroke-pines,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,miramar,19,20,miami-to-miramar,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miramar,19,20,miami-to-miramar,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,miramar,19,20,miami-to-miramar,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,miramar,19,20,miami-to-miramar,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,miramar,19,20,miami-to-miramar,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,pompano-beach,36,40,miami-to-pompano-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pompano-beach,36,40,miami-to-pompano-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,pompano-beach,36,40,miami-to-pompano-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,pompano-beach,36,40,miami-to-pompano-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,pompano-beach,36,40,miami-to-pompano-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,coral-springs,39,43,miami-to-coral-springs,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coral-springs,39,43,miami-to-coral-springs,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coral-springs,39,43,miami-to-coral-springs,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,coral-springs,39,43,miami-to-coral-springs,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,coral-springs,39,43,miami-to-coral-springs,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,plantation,28,30,miami-to-plantation,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,plantation,28,30,miami-to-plantation,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,plantation,28,30,miami-to-plantation,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,plantation,28,30,miami-to-plantation,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,plantation,28,30,miami-to-plantation,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,sunrise,31,34,miami-to-sunrise,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sunrise,31,34,miami-to-sunrise,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,sunrise,31,34,miami-to-sunrise,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,sunrise,31,34,miami-to-sunrise,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,sunrise,31,34,miami-to-sunrise,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,weston,29,32,miami-to-weston,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,weston,29,32,miami-to-weston,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,weston,29,32,miami-to-weston,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,weston,29,32,miami-to-weston,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,weston,29,32,miami-to-weston,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,davie,24,26,miami-to-davie,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,davie,24,26,miami-to-davie,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,davie,24,26,miami-to-davie,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,davie,24,26,miami-to-davie,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,davie,24,26,miami-to-davie,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,tamarac,35,38,miami-to-tamarac,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,tamarac,35,38,miami-to-tamarac,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,tamarac,35,38,miami-to-tamarac,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,tamarac,35,38,miami-to-tamarac,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,tamarac,35,38,miami-to-tamarac,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,margate,37,40,miami-to-margate,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,margate,37,40,miami-to-margate,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,margate,37,40,miami-to-margate,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,margate,37,40,miami-to-margate,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,margate,37,40,miami-to-margate,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,coconut-creek,37,41,miami-to-coconut-creek,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coconut-creek,37,41,miami-to-coconut-creek,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
miami,coconut-creek,37,41,miami-to-coconut-creek,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
miami,coconut-creek,37,41,miami-to-coconut-creek,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
miami,coconut-creek,37,41,miami-to-coconut-creek,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
miami,deerfield-beach,43,47,miami-to-deerfield-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
