route_type,origin_name,origin_zip,destination_name,destination_zip,distance_mi,drive_time_min,company_travel_time_min,slug,is_active,house_size,min_cost,max_cost,avg_cost,movers,trucks,min_hours,max_hours
long_distance,miami,33101,margate,33063,36.3,43,,miami-to-margate,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,coconut-creek,33066,38.8,42,,miami-to-coconut-creek,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,coconut-creek,33066,38.8,42,,miami-to-coconut-creek,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,coconut-creek,33066,38.8,42,,miami-to-coconut-creek,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,coconut-creek,33066,38.8,42,,miami-to-coconut-creek,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,coconut-creek,33066,38.8,42,,miami-to-coconut-creek,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,deerfield-beach,33441,40.4,41,,miami-to-deerfield-beach,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,deerfield-beach,33441,40.4,41,,miami-to-deerfield-beach,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,deerfield-beach,33441,40.4,41,,miami-to-deerfield-beach,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,deerfield-beach,33441,40.4,41,,miami-to-deerfield-beach,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,deerfield-beach,33441,40.4,41,,miami-to-deerfield-beach,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,lauderhill,33313,27.7,33,,miami-to-lauderhill,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lauderhill,33313,27.7,33,,miami-to-lauderhill,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,lauderhill,33313,27.7,33,,miami-to-lauderhill,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
long_distance,miami,33101,lauderhill,33313,27.7,33,,miami-to-lauderhill,True,4_bedroom,1880,2360,2120,4,1,7.0,9.0
long_distance,miami,33101,lauderhill,33313,27.7,33,,miami-to-lauderhill,True,4plus_bedroom,2840,3320,3080,4,1,11.0,13.0
long_distance,miami,33101,north-lauderdale,33068,32.4,38,,miami-to-north-lauderdale,True,1_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,north-lauderdale,33068,32.4,38,,miami-to-north-lauderdale,True,2_bedroom,920,1280,1100,2,1,4.0,6.0
long_distance,miami,33101,north-lauderdale,33068,32.4,38,,miami-to-north-lauderdale,True,3_bedroom,1670,2090,1880,3,1,7.0,9.0
